city,temp,humid,wind,clouds,lat,lng,maxtemp,country,local_date_time
turhal,33.8,86,1.14,0,40.3875,36.0811,33.8,TR,2021-05-11 01:16:49
isangel,82.4,78,6.91,75,-19.55,169.2667,82.4,VU,2021-05-11 09:16:50
yaan,74.5,83,1.07,82,7.3833,8.5667,74.5,NG,2021-05-10 23:16:50
nantucket,44.78,93,6.91,1,41.2835,-70.0995,45,US,2021-05-10 18:16:50
clyde river,14,92,12.66,75,70.4692,-68.5914,14,CA,2021-05-10 18:13:52
dedza,47.19,90,3.09,13,-14.3779,34.3332,47.19,MW,2021-05-11 00:16:51
norman wells,50,37,10.36,40,65.282,-126.8329,50,CA,2021-05-10 16:16:51
klaksvik,41,75,16.11,75,62.2266,-6.589,41,FO,2021-05-10 23:16:51
barrow,19.4,79,12.66,75,71.2906,-156.7887,19.4,US,2021-05-10 14:12:20
sioux lookout,42.8,49,3.44,75,50.1001,-91.917,42.8,CA,2021-05-10 17:12:49
sao felix do xingu,71.71,96,2.08,84,-6.6447,-51.995,71.71,BR,2021-05-10 19:16:51
monrovia,75.2,94,4.61,75,6.3005,-10.7969,75.2,LR,2021-05-10 22:16:52
sakaiminato,63.32,67,8.05,75,35.55,133.2333,64.4,JP,2021-05-11 07:13:35
tatawin,75.2,38,2.3,0,32.9297,10.4518,75.2,TN,2021-05-10 23:16:52
alice springs,72.09,37,13.8,0,-23.7,133.8833,73.99,AU,2021-05-11 07:44:18
port blair,85.46,65,2.28,81,11.6667,92.75,85.46,IN,2021-05-11 03:46:52
bilma,86.92,10,1.07,50,18.6853,12.9164,86.92,NE,2021-05-10 23:16:52
namatanai,85.23,64,2.3,87,-3.6667,152.4333,85.23,PG,2021-05-11 08:16:53
kristiinankaupunki,46.29,88,16.75,100,62.2743,21.376,46.29,FI,2021-05-11 01:16:53
qaqortoq,39.2,56,10.36,90,60.7167,-46.0333,39.2,GL,2021-05-10 20:16:53
kaka,69.26,57,9.01,3,37.3482,59.6143,69.26,TM,2021-05-11 03:16:53
iguape,65.28,90,4.83,1,-24.7081,-47.5553,65.28,BR,2021-05-10 19:16:53
san cristobal,78.8,73,3.44,40,7.7669,-72.225,78.8,VE,2021-05-10 18:13:43
dunedin,51.01,92,21.99,100,-45.8742,170.5036,51.01,NZ,2021-05-11 10:16:54
nanortalik,37.38,77,2.66,37,60.1432,-45.2371,37.38,GL,2021-05-10 20:12:52
poum,79.5,75,14.03,20,-20.2333,164.0167,79.5,NC,2021-05-11 09:13:14
saldanha,57.2,88,3.44,0,-33.0117,17.9442,57.2,ZA,2021-05-11 00:16:54
san patricio,80.65,89,8.05,90,28.017,-97.5169,82.4,US,2021-05-10 17:12:41
tasiilaq,26.6,93,10.36,90,65.6145,-37.6368,26.6,GL,2021-05-10 20:16:54
garden city,46.44,57,6.91,40,42.3256,-83.331,48.2,US,2021-05-10 18:16:54
kodyma,43.99,68,4.16,2,48.0988,29.1246,43.99,UA,2021-05-11 01:16:55
trelew,49.91,42,4.32,5,-43.249,-65.3051,49.91,AR,2021-05-10 19:16:55
hermsdorf,58.33,59,4.56,96,50.9,11.8667,59,DE,2021-05-11 00:16:55
kanniyakumari,83.37,78,7.78,100,8.0833,77.5667,83.37,IN,2021-05-11 03:46:55
ilulissat,30.2,93,6.91,75,69.2167,-51.1,30.2,GL,2021-05-10 20:16:56
miles city,51.8,35,5.75,90,46.4083,-105.8406,51.8,US,2021-05-10 16:12:44
hassleholm,55.36,88,10.36,90,56.1591,13.7664,57,SE,2021-05-11 00:16:56
hamilton,52.47,82,2.44,1,39.1834,-84.5333,54,US,2021-05-10 18:13:29
cuamba,57.47,96,4.27,13,-14.8031,36.5372,57.47,MZ,2021-05-11 00:16:56
avera,68.23,89,6.2,90,33.194,-82.5271,69.8,US,2021-05-10 18:16:56
