city,temp,humid,wind,clouds,lat,lng,maxtemp,country,local_date_time
pindiga,76.39,59,6.58,100,9.9833,10.9333,76.39,NG,2021-05-10 23:17:30
anuradhapura,79.93,86,4,100,8.3565,80.4173,79.93,LK,2021-05-11 03:47:30
jining,75,1,7.43,100,35.405,116.5814,75,CN,2021-05-11 06:17:31
pochutla,82.99,78,1.01,87,15.7432,-96.4661,82.99,MX,2021-05-10 17:13:09
progreso,87.8,42,12.66,20,21.2833,-89.6667,87.8,MX,2021-05-10 17:13:38
vagur,41.81,85,31.23,100,61.4732,-6.8119,41.81,FO,2021-05-10 23:17:31
pervomayskoye,45.12,67,4.54,6,43.919,46.7102,45.12,RU,2021-05-11 01:17:31
kaohsiung,87.66,58,8.05,20,22.6163,120.3133,89.6,TW,2021-05-11 06:17:31
guiratinga,72.68,54,3.15,47,-16.3494,-53.7583,72.68,BR,2021-05-10 18:17:32
songjianghe,63.1,25,3,3,42.1859,127.479,63.1,CN,2021-05-11 06:17:32
san jose de gracia,63.72,82,2.48,100,20.6667,-102.5833,63.72,MX,2021-05-10 17:17:32
bogorodskoye,38.14,82,4.9,10,56.55,37.8833,38.14,RU,2021-05-11 01:17:32
artigas,56.55,77,9.91,97,-30.4,-56.4667,56.55,UY,2021-05-10 19:17:33
vostok,51.21,43,6.02,47,46.4856,135.8833,51.21,RU,2021-05-11 08:17:33
reni,41,75,4.61,0,45.4573,28.2932,41,UA,2021-05-11 01:16:05
evensk,34.3,95,3.44,54,61.95,159.2333,34.3,RU,2021-05-11 09:13:30
gimli,44.6,42,1.12,42,50.6336,-96.9907,44.6,CA,2021-05-10 17:17:33
mandalgovi,42.04,39,25.43,0,45.7625,106.2708,42.04,MN,2021-05-11 06:17:33
llanes,47.07,74,12.75,31,43.4198,-4.7549,48,ES,2021-05-11 00:17:34
bengkulu,77.86,92,3.87,100,-3.8004,102.2655,77.86,ID,2021-05-11 05:13:44
tawang,52.88,70,4.43,56,27.5833,91.8667,52.88,IN,2021-05-11 03:47:34
riachao,78.01,63,2.35,100,-7.3619,-46.6172,78.01,BR,2021-05-10 19:17:34
college,58.98,33,5.75,90,64.8569,-147.8028,61,US,2021-05-10 14:13:18
abu samrah,63.88,48,4.14,0,35.3029,37.1841,63.88,SY,2021-05-11 01:17:34
murgab,62.6,48,4.83,0,37.4966,61.9714,62.6,TM,2021-05-11 03:17:35
san policarpo,83.25,81,8.97,100,12.1791,125.5072,83.25,PH,2021-05-11 06:17:35
dingle,88.68,61,10.49,54,10.9995,122.6711,88.68,PH,2021-05-11 06:13:05
canavieiras,71.67,72,7.65,100,-15.675,-38.9472,71.67,BR,2021-05-10 19:17:35
kaitangata,48.27,92,14,100,-46.2817,169.8464,48.27,NZ,2021-05-11 10:12:38
ivanava,46.92,90,9.4,56,52.1451,25.5365,46.92,BY,2021-05-11 01:17:36
north bend,54,76,27.63,20,43.4065,-124.2243,55.99,US,2021-05-10 15:17:36
kutum,72.63,61,7.7,2,14.2,24.6667,72.63,SD,2021-05-11 00:17:36
arona,60.48,68,19.57,75,28.0996,-16.681,66.2,ES,2021-05-10 23:17:36
zhangye,73.58,20,0.98,72,38.9342,100.4517,73.58,CN,2021-05-11 06:17:37
rock sound,79.32,77,12.01,2,24.9,-76.2,79.32,BS,2021-05-10 18:17:37
lasa,52.61,81,10.36,75,46.6166,10.7002,55,IT,2021-05-11 00:17:37
tarabuco,44.4,80,4.5,35,-19.1667,-64.9167,44.4,BO,2021-05-10 18:17:37
chapais,42.8,81,2.3,90,49.7834,-74.8492,42.8,CA,2021-05-10 18:17:38
tommot,50.63,71,2.01,100,58.9564,126.2925,50.63,RU,2021-05-11 07:17:38
touros,75.2,88,5.75,20,-5.1989,-35.4608,75.2,BR,2021-05-10 19:17:38
pocatello,46.44,49,6.91,75,42.8713,-112.4455,48.2,US,2021-05-10 16:15:57
savonlinna,55.4,62,8.05,0,61.8699,28.88,55.4,FI,2021-05-11 01:17:38
ust-kuyga,25.54,83,13.35,100,70.0167,135.6,25.54,RU,2021-05-11 08:13:43
koster,49.41,45,6.38,0,-25.863,26.8976,49.41,ZA,2021-05-11 00:17:39
caravelas,72.23,65,9.24,91,-17.7125,-39.2481,72.23,BR,2021-05-10 19:17:39
sao francisco,67.41,57,6.82,3,-15.9486,-44.8644,67.41,BR,2021-05-10 19:17:39
orel-izumrud,48.11,76,6.71,90,43.4583,39.9244,48.2,RU,2021-05-11 01:17:39
fukue,66.2,100,12.66,75,32.6881,128.8419,66.2,JP,2021-05-11 07:17:40
mahebourg,69.8,94,5.75,40,-20.4081,57.7,69.8,MU,2021-05-11 02:17:40
paungde,88.34,57,3.56,3,18.4833,95.5,88.34,MM,2021-05-11 04:47:40
nouadhibou,69.8,73,19.57,0,20.931,-17.0347,69.8,MR,2021-05-10 22:13:26
surab,67.87,33,5.77,8,28.4914,66.2585,67.87,PK,2021-05-11 03:17:40
yuanping,67.64,35,7.09,100,38.7153,112.7575,67.64,CN,2021-05-11 06:17:41
porto novo,82.4,83,10.36,40,6.4965,2.6036,82.4,BJ,2021-05-10 23:17:41
maningrida,86.7,45,14.38,88,-12.0667,134.2667,86.7,AU,2021-05-11 07:47:41
coahuayana,78.96,81,2.71,100,18.7333,-103.6833,78.96,MX,2021-05-10 17:13:44
berlevag,35.76,85,12.71,11,70.8578,29.0864,35.76,NO,2021-05-11 00:13:14
kerema,82.94,76,5.99,52,-7.9631,145.7785,82.94,PG,2021-05-11 08:17:41
atlantic city,53.2,82,5.75,1,39.3643,-74.4229,53.6,US,2021-05-10 18:16:58
gornji milanovac,50,100,1.14,0,44.0333,20.45,50,RS,2021-05-11 00:17:42
lanzhou,62.6,48,8.95,0,36.0564,103.7922,62.6,CN,2021-05-11 06:17:42
aykhal,24.76,86,16.62,100,66,111.5,24.76,RU,2021-05-11 07:17:42
camopi,70.16,99,1.66,100,3.1655,-52.3158,70.16,GF,2021-05-10 19:17:42
kuching,84.11,84,1.14,20,1.55,110.3333,84.2,MY,2021-05-11 06:13:14
corozal,78.48,86,9.37,70,9.3151,-75.2928,78.48,CO,2021-05-10 17:17:43
puerto escondido,83.55,72,1.92,33,15.85,-97.0667,83.55,MX,2021-05-10 17:13:33
rio grande,57.99,95,14.74,100,-32.035,-52.0986,57.99,BR,2021-05-10 19:17:43
eilenburg,59.68,82,9.22,0,51.4598,12.6334,61,DE,2021-05-11 00:17:43
mayo,52.63,62,4.61,1,38.8876,-76.5119,55.99,US,2021-05-10 18:17:43
alta floresta,72.48,91,2.57,86,-9.8756,-56.0861,72.48,BR,2021-05-10 18:17:43
turbat,83.46,28,3.49,3,26.0023,63.044,83.46,PK,2021-05-11 03:17:44
santa maria,59,100,1.14,90,-29.6842,-53.8069,59,BR,2021-05-10 19:16:21
lusambo,67.59,98,2.51,20,-4.9667,23.45,67.59,CD,2021-05-11 00:17:44
calabozo,80.76,65,3.22,100,8.9242,-67.4293,80.76,VE,2021-05-10 18:17:44
paveh,55.4,47,9.73,0,35.0434,46.3565,55.4,IR,2021-05-11 02:47:44
fayaoue,78.44,79,15.84,53,-20.65,166.5333,78.44,NC,2021-05-11 09:17:45
nakamura,72.32,65,5.59,100,32.9833,132.9333,72.32,JP,2021-05-11 07:17:45
ostersund,48.6,100,8.05,40,63.1792,14.6357,48.99,SE,2021-05-11 00:17:45
vallenar,62.55,60,0.72,100,-28.5708,-70.7581,62.55,CL,2021-05-10 18:17:45
brunico,49.64,81,3.78,36,46.7958,11.9364,53.01,IT,2021-05-11 00:17:46
altamira,72.9,97,2.37,66,-3.2033,-52.2064,72.9,BR,2021-05-10 19:13:54
walvis bay,69.8,24,12.66,0,-22.9575,14.5053,69.8,NA,2021-05-11 00:17:46
beboto,74.23,73,3.78,88,8.2668,16.939,74.23,TD,2021-05-10 23:17:46
sept-iles,43.29,52,8.05,75,50.2001,-66.3821,44.01,CA,2021-05-10 18:17:46
bardstown,53.69,76,2.73,1,37.8092,-85.4669,55,US,2021-05-10 18:15:03
eureka,55.83,88,4,33,40.8021,-124.1637,59,US,2021-05-10 15:13:17
vitim,37.98,95,6.29,100,59.4511,112.5578,37.98,RU,2021-05-11 07:17:47
kintampo,73.9,85,4.61,7,8.0563,-1.7306,73.9,GH,2021-05-10 22:16:16
oyama,63.36,59,6.91,75,36.3,139.8,68,JP,2021-05-11 07:17:47
sao luis,80.6,83,2.3,40,-2.5297,-44.3028,80.6,BR,2021-05-10 19:16:39
iranshahr,78.8,34,1.05,0,27.2025,60.6848,78.8,IR,2021-05-11 02:47:47
dong hoi,88.79,61,3.4,16,17.4833,106.6,88.79,VN,2021-05-11 05:17:48
aklavik,36.45,64,6.91,100,68.2191,-135.0107,37.4,CA,2021-05-10 16:13:28
camden,48.56,86,3.09,8,39.7835,-74.9663,50,US,2021-05-10 18:17:48
oxelosund,42.8,93,4.61,0,58.6706,17.1015,42.8,SE,2021-05-11 00:17:48
vila,43,94,3,47,42.0304,-8.1588,43,PT,2021-05-10 23:17:48
barneveld,54.55,88,1.95,100,52.1333,5.5833,57,NL,2021-05-11 00:17:49
san rafael,54.91,48,6.93,100,-34.6177,-68.3301,54.91,AR,2021-05-10 19:17:49
laguna,86.94,13,10.36,1,38.421,-121.4238,88,US,2021-05-10 15:17:49
gimbi,56.84,93,1.21,100,9.1667,35.8333,56.84,ET,2021-05-11 01:17:49
inndyr,43.29,61,25.32,75,67.0338,14.0276,44.01,NO,2021-05-11 00:17:50
totma,41.16,71,3.56,73,59.9747,42.7642,41.16,RU,2021-05-11 01:17:50
morro bay,59.86,88,1.99,23,35.3658,-120.8499,63,US,2021-05-10 15:17:50
marsh harbour,78.22,81,9.69,2,26.5412,-77.0636,78.22,BS,2021-05-10 18:13:48
havre-saint-pierre,42.8,65,5.75,90,50.2334,-63.5986,42.8,CA,2021-05-10 18:13:43
diamantino,73.44,60,1.5,9,-14.4086,-56.4461,73.44,BR,2021-05-10 18:17:50
alcaniz,52.16,68,8.99,86,41.05,-0.1333,55,ES,2021-05-11 00:17:51
envira,70.43,90,1.59,72,-7.3,-70.2167,70.43,BR,2021-05-10 17:17:51
kloulklubed,84.2,79,9.22,75,7.0419,134.2556,84.2,PW,2021-05-11 07:13:55
charters towers,82.99,50,7.74,69,-20.1,146.2667,82.99,AU,2021-05-11 08:17:51
sattahip,87.8,79,2.3,20,12.6664,100.9007,87.8,TH,2021-05-11 05:13:43
zeerust,44.6,81,3.44,0,-25.5369,26.0751,44.6,ZA,2021-05-11 00:17:51
bloomfield,50.22,81,7.43,1,40.8068,-74.1854,55.4,US,2021-05-10 18:17:52
lima,62.76,82,3.44,75,-12.0432,-77.0282,64.4,PE,2021-05-10 17:16:37
bolshaya glushitsa,43.39,84,12.64,100,50.2406,43.5908,43.39,RU,2021-05-11 01:17:52
jacareacanga,72.37,98,1.16,42,-6.2222,-57.7528,72.37,BR,2021-05-10 19:17:52
shingu,69.8,60,4.61,75,33.7333,135.9833,69.8,JP,2021-05-11 07:12:52
hoquiam,54.25,76,13.8,1,46.9809,-123.8893,57,US,2021-05-10 15:17:52
honiara,85.75,70,7.7,100,-9.4333,159.95,85.75,SB,2021-05-11 09:13:27
pocerski pricinovic,58.33,61,3,0,44.7222,19.7072,59,RS,2021-05-11 00:17:53
westport,49.82,62,3.44,1,41.1415,-73.3579,55.4,US,2021-05-10 18:17:53
severo-yeniseyskiy,44.19,72,6.58,100,60.3725,93.0408,44.19,RU,2021-05-11 05:17:53
roma,44.28,53,5.75,75,43.2128,-75.4557,48.2,US,2021-05-10 18:17:53
padang,84.2,79,2.3,20,-0.9492,100.3543,84.2,ID,2021-05-11 05:17:54
wufeng,55.54,77,2.73,100,27.45,104.8333,55.54,CN,2021-05-11 06:17:54
shieli,65.14,55,8.01,0,44.1667,66.75,65.14,KZ,2021-05-11 03:17:54
nacimiento,46.99,63,3.71,0,-37.5,-72.6667,46.99,CL,2021-05-10 18:17:54
sawtell,72.77,64,5.75,14,-30.3833,153.1,73.4,AU,2021-05-11 08:17:55
sorland,41.31,75,24.11,100,67.667,12.6934,41.31,NO,2021-05-11 00:12:54
gariaband,77,83,2.3,40,20.635,82.0614,77,IN,2021-05-11 03:47:55
neon karlovasion,60.01,70,4,0,37.7903,26.7044,60.01,GR,2021-05-11 01:17:55
datong,66.92,34,13.15,100,40.0936,113.2914,66.92,CN,2021-05-11 06:17:55
moose factory,32,93,9.22,90,51.2585,-80.6094,32,CA,2021-05-10 18:17:55
haines junction,48.2,49,6.91,100,60.7522,-137.5108,48.2,CA,2021-05-10 15:17:56
ternate,84.38,70,2.08,88,0.8,127.4,84.38,ID,2021-05-11 07:17:56
north myrtle beach,73.53,73,5.75,75,33.816,-78.68,73.99,US,2021-05-10 18:16:19
tarboro,62.31,88,5.75,75,35.8968,-77.5358,64.4,US,2021-05-10 18:17:56
zelenoborskiy,37.99,100,1.21,100,66.845,32.3622,37.99,RU,2021-05-11 01:17:56
dourbali,89.19,30,4.05,75,11.8091,15.8632,89.19,TD,2021-05-10 23:17:57
orleans,75.9,83,6.91,40,30.0335,-89.9501,78.01,US,2021-05-10 17:17:57
sal rei,69.8,83,13.8,75,16.1833,-22.9167,69.8,CV,2021-05-10 21:13:24
capitao poco,71.94,97,3.42,22,-1.7464,-47.0594,71.94,BR,2021-05-10 19:17:57
roebourne,80.69,36,17.96,100,-20.7833,117.1333,80.69,AU,2021-05-11 06:17:57
qasigiannguit,30.2,93,6.91,75,68.8193,-51.1922,30.2,GL,2021-05-10 20:17:58
bull savanna,76.39,75,10.27,0,17.8868,-77.5902,76.39,JM,2021-05-10 17:17:58
mnogovershinnyy,44.71,38,3.49,9,53.9353,139.9242,44.71,RU,2021-05-11 08:17:58
yulara,69.8,43,12.66,0,-25.2406,130.9889,69.8,AU,2021-05-11 07:47:58
salinas,58.62,67,14.97,1,36.6777,-121.6555,62.6,US,2021-05-10 15:17:34
namtsy,53.6,28,13.42,0,62.7161,129.6658,53.6,RU,2021-05-11 07:17:59
outjo,54.81,34,9.55,0,-20.1167,16.15,54.81,NA,2021-05-11 00:17:59
biak,82.02,72,6.67,98,-0.9131,122.8766,82.02,ID,2021-05-11 06:17:59
ostrovnoy,37.4,93,8.25,100,68.0531,39.5131,37.4,RU,2021-05-11 01:17:59
hualmay,64.9,87,8.41,42,-11.0964,-77.6139,64.9,PE,2021-05-10 17:17:59
ken caryl,34.48,79,7,100,39.5773,-105.1169,37,US,2021-05-10 16:18:00
agadez,84.63,8,3.74,5,19.75,10.25,84.63,NE,2021-05-10 23:18:00
warren,50.54,93,3.09,1,39.4334,-84.1666,54,US,2021-05-10 18:16:26
beloha,64.54,94,4.45,1,-25.1667,45.05,64.54,MG,2021-05-11 01:18:00
pauini,73,97,1.1,96,-7.7136,-66.9764,73,BR,2021-05-10 18:18:00
kalaleh,55.4,100,1.63,90,37.3807,55.4916,55.4,IR,2021-05-11 02:48:01
kochi,80.6,94,3.44,40,9.9399,76.2602,80.6,IN,2021-05-11 03:48:01
